2PM	 'the time'

3PM	 'the time'

4PM	 'the time'

5PM	 'the time'

9AM	 'the time'

Aaron	 'Moses' brother'

Abagtha	 'in Esther'

Abednego	 'Azariah's Babylonian name'

Abel	 'brother of Cain'

Abida	 'a man's name'

Abihail	 'father of Esther'

Abijah	 'son of Rehoboam, descendant of David; also the name of a group of priests in Luke 1:5.'

Abilene	 'the place (Luke 3:1)'

Abimael	 'man in Gen 11'

Abimelech	 'man in Gen 20'

Abraham	 'person, also called Abram'

Abram	 'Abraham's original name'

Acbor	 'man in Gen. 36:38'

action	 'the action of a person'

Adah	 'woman in Gen. 4:19'

Adalia	 'Esther 9:7-9'

Adam	 'the first man'

Adbeel	 'a man's name'

Addi	 'the person (Luke 3)'

Admah	 'the city'

Admatha	 'in Esther'

Adullam	 'town in Gen. 38:1'

Agagite	 'a group of people to whom Mordecai belonged, in Esther'

age	 'the number of years someone or thing has been alive'

agreement	 'an arrangement or promise to do something, made by two or more people or organizations'

Agus	 'man's name in Avian Influenza'

Ahuzzath	 'the person in Gen 26'

Ai	 'the place in Gen 12'

Aiah	 'man in Gen. 36:24'

AIDS	 'the disease'

air	 'what we breathe'

air	 'the space above the ground'

Ajani	 'name of a boy who was Kande's friend'

Akan	 'man in Gen. 36:26'

Akeldama	 'the name of Judas' field in Acts 1:19'

Akkad	 'the city'

alcohol	 'a substance that people drink and it causes them to become drunk'

Alex	 'a name of a person'

Almodad	 'man in Gen 11'

almond	 'the fruit of the almond tree'

Alphaeus	 'the father of James, the disciple'

altar	 'an altar for worship'

Alvah	 'man in Gen. 36:40'

Alvan	 'man in Gen. 36:23'

Amalek	 'man in Gen. 36:12'

Amalekite	 'a person of the Amalekites'

Amminadab	 'father-in-law of Aaron'

Ammon	 'a country mentioned in Daniel 11:41'

Ammonite	 'a person of the Ammonites'

Amorite	 'an Amorite person'

Amos	 'son of Manasseh, descendant of David'

amount	 'a quantity of something such as time, money, food, etc.'

Amraphel	 'man in Gen 14'

Anah	 'woman in Gen. 36:2'

Anah	 'man in Gen. 36:24'

Anamim	 'man in Gen 10'

ancestor	 'older relatives related by blood'

Ancient-of-Days	 'a title used for God the Father and also for Jesus Christ in Daniel 7 and other passages'

Andrew	 'the disciple'

Aner	 'the person in Gen 14'

angel	 'heavenly being'

animal	 'an animal'

Anna	 'the prophetess  (Luke 2:36)'

Annas	 'the high priest (Luke 3:2)'

Anointed-One	 'name of special ruler in Daniel 9'

apostle	 'the 12 apostles'

April	 'the month'

Aram	 'man in Gen 11'

Aramaic	 'a northwest Semitic language'

Aran	 'man in Gen. 36:28'

Ararat	 'mountain in Gen. 8:4'

Archippus	 'a man's name, mentioned in Colossians 4'

Ard	 'man in Gen. 46:21'

Areli	 'man in Gen. 46:16'

Aridai	 'Esther 9:7-9'

Aridatha	 'Esther 9:7-9'

Arimathea	 'the place where Joseph, who buried Jesus, lived'

Arioch	 'the captain of Nebuchadnezzar's soldiers'

Arisai	 'Esther 9:7-9'

Aristarchus	 'a man's name, one of Paul's coworkers in Colossians 4'

ark	 'the large boat that Noah built to save his family and the animals'

Arkite	 'an Arkite person'

arm	 'the arm'

army	 'the military of a country'

Arni	 'the person (Luke 3:33) (Ram in NIV)'

Arodi	 'man in Gen. 46:16'

Arphaxad	 'the person (Luke 3)'

arrow	 'an arrow'

Arvadite	 'an Arvadite person'

Asenath	 'Egyptian woman in Gen. 41:45'

ash	 'ash, from a fire'

Ashbel	 'man in Gen. 46:21'

Asher	 'Jacob's son'

Ashkenaz	 'man in Gen 10'

Ashpenaz	 'Nebuchadnezzar's chief official'

Ashteroth-Karnaim	 'place in Gen 14'

Aspatha	 'Esther 9:7-9'

Asshur	 'man in Gen 10'

Assyria	 'the country'

astrologer	 'someone who claims to interpret how the stars and planets influence human affairs'

Atad	 'man in Gen. 49:10'

Augustus	 'the emperor of Rome at the time of Jesus' birth'

authority	 'the abstract, authority'

Avian-Influenza	 'name of disease that kills birds'

Avith	 'city in Gen. 36:35'

axe	 'an axe'

Azariah	 'a friend of Daniel'

Baal-Hanan	 'man in Gen. 36:38'

Babel	 'city in Gen. 11'

baby	 'an infant boy'

baby	 'an infant girl'

baby	 'a baby animal, as opposed to a baby human'

Babylon	 'the place'

Babylonia	 'the country/region'

back	 'the back of a person or animal'

back	 'the rear portion of something (back of the boat)'

bag	 'a bag'

bamboo	 'wood from a bamboo tree (The cage was made of bamboo.)'

bandage	 'strip of cloth or other material meant to cover a wound to keep it clean'

bank	 'edge of a body of water'

bank	 'a place that stores money for people'

Baptist	 'title of John the Baptist'

Barabbas	 'the criminal freed instead of Jesus'

bark	 'covering of a tree'

barley	 'a type of crop'

barley	 'the food'

barn	 'a building for storing harvested crops'

Barnabas	 'a man's name'

Barsabbas	 'man's name in Acts 1:23'

Bartholomew	 'the disciple'

Bartimaeus	 'the blind beggar Jesus heales (Mark 10 46)'

Basemath	 'the woman in Genesis 26'

Bashan	 'place in Nahum 1:4'

basket	 'a type of container'

battle	 'a battle, as opposed to a war'

bear	 'the animal'

bed	 'a bed'

Bedad	 'man in Gen. 36:35'

Beelzebul	 'Beelzebul'

Beer-Lahai-Roi	 'the well in Gen 16'

Beeri	 'the man in Genesis 26'

Beersheba	 'the place'

Beker	 'man in Gen. 46:21'

Bela	 'place in Gen 14'

Bela	 'man in Gen. 36:32'

believer	 'a Christian'

Belshazzar	 'king of Babylon during Daniel's time'

belt	 'a belt'

Belteshazzar	 'Daniel's Babylonian name'

Ben-Ammi	 'person in Gen 19'

Benjamin	 'Jacob's son'

Beor	 'man in Gen. 36:32'

Bera	 'man in Gen 14'

Bered	 'place in Gen 16'

Beriah	 'man in Gen. 46:17'

Bethany	 'the place'

Bethel	 'the place'

Bethlehem	 'the city'

Bethphage	 'the place, Matt 21:1'

Bethsaida	 'the place'

Bethuel	 'man in Gen 22'

Bigtha	 'in Esther'

Bigthana	 'guard in Esther 2:21'

Bilhah	 'the woman in Gen 29'

Bilhan	 'man in Gen. 36:27'

bill	 'a written list showing how much money is owed for goods or services (John has a bill.)'

bird	 'a bird'

Birsha	 'man in Gen 14'

birthday	 'anniversary of the day when someone was born'

Biztha	 'in Esther'

bleach	 'chemical that kills germs'

blood	 'the blood of a human or animal'

board	 'a cutting board used when cutting meat or food'

boat	 'a boat'

Boaz	 'husband of Rahab, husband of Ruth'

body	 'the physical body of a person or animal'

bone	 'a bone'

book	 'a book to read'

Book-of-Life	 'name of book in Philippians 4:3'

Book-of-Truth	 'name of book in Daniel 10'

border	 'the border between two geographies'

boss	 'the boss of a group of workers'

bottom	 'the bottom of a container'

bottom	 'the lowest part of a structure (bottom of the mountain)'

bow	 'the weapon used to shoot arrows'

bowl	 'a bowl'

box	 'a box'

boy	 'young male human'

Bozrah	 'city in Gen. 36:33'

bracelet	 'jewelry that goes on a person's arm or wrist'

branch	 'a branch of a tree'

bread	 'bread'

breast	 'the part of a woman's body that produces milk for children'

breast-milk	 'milk from a mother'

brick	 'a brick used for building'

bridegroom	 'complex - a man that will marry a woman soon'

bronze	 'an alloy of copper and tin'

brother	 'older male sibling'

brother	 'younger male sibling'

brother	 'generic term that includes both older and younger brothers'

brother	 'title used by Christians for men (Brother John, ...)'

bucket	 'a bucket'

building	 'generic term for a structure that people live or work in'

bull	 'a male cow'

bush	 'a small tree'

Buz	 'man in Gen 22'

Caesar	 'the person'

Caesarea	 'the place'

Caesarea-philippi	 'the place'

cage	 'an enclosure for confining birds or animals'

Caiaphas	 'the high-priest at the time of Jesus' crucifixion'

Cain	 'son of Adam and Eve'

Cainan	 'the person (Luke 3)'

Calah	 'the city'

calf	 'a baby cow'

Calneh	 'the city'

camel	 'a camel'

camp	 'more-or-less temporary living place, usually with tents'

Canaan	 'the place'

